Text Instruction,Label
Diagnose and highlight the sheets to improve detection.,Classification
"This image contains a edema, find out it.",Classification
"Observe and locate the er positive, noting key features.",Segmentation
"Your task is to locate and check the invasive carcinoma, can you do it?",Both
"Observe and map the cell detection, noting key features.",Segmentation
"Your task is to locate and check the atrophy, can you do it?",Both
Locate and check and determine the correct boundaries of the er negative.,Both
"Draw boundary and indicate the dysplasia, making it clearer.",Segmentation
Your objective is to mark and determine the mucin efficiently.,Both
"Find out and indicate the fibrosis, making it clearer.",Classification
Encircle the hemorrhage and label it properly.,Segmentation
Observe the exact location of the cytoplasmic atypia in the given scene.,Classification
Analyze and highlight the desmoplasianuclear atypia to improve detection.,Classification
"Help us diagnose the inflammation, it's important.",Classification
"Help us mark and determine the hyalinization, it's important.",Both
"Find, then mark the calcification for classification.",Segmentation
Find out if there are {obj}s or not. Locate them if there is any present. the blood cells and label it properly.,Both
Outline and highlight the fibrosis to improve detection.,Segmentation
We need to mark and determine the tumor budding for further analysis.,Both
"Observe and observe the cell detection, noting key features.",Classification
Your objective is to assess the nontumor efficiently.,Classification
Analyze the image and inspect where the atypia is.,Classification
Confirm the area containing the hemorrhage with precision.,Classification
Your objective is to delimit the hyperplasia efficiently.,Segmentation
"Your task is to analyze the mitosis, can you do it?",Classification
"Please encircle the metaplasia, we need the data.",Segmentation
"Is there any {obj} in the region? If yes, mark out. and determine the correct boundaries of the fibrinoid necrosis.",Both
"Help us confirm the tumor, it's important.",Classification
"Is there any granulation tissue in the region? If yes, mark out.",Segmentation
"Please detect and classify the neutrophilic infiltrate, we need the data.",Both
Separate where the apoptosis is located in this image.,Segmentation
Analyze the image and find out if there are {obj}s or not. locate them if there is any present. where the metastasis is.,Both
Your objective is to highlight the tumor necrosis efficiently.,Segmentation
Analyze the image and judge where the hypertrophy is.,Classification
"Recognize and indicate the desmoplasianuclear atypia, making it clearer.",Classification
Outline the exact location of the clear cells in the given scene.,Segmentation
Scan the image and categorize the neutrophilic infiltrate accurately.,Classification
We need to trace the lymphocytic infiltrate for further analysis.,Segmentation
Analyze the image and diagnose where the fibrinoid necrosis is.,Classification
Find out if there are {obj}s or not. Locate them if there is any present. the hypertrophy.,Both
"Help us spot and recognize the neutrophilic infiltrate, it's important.",Both
We need to distinguish and highlight the gangrenous necrosis for further analysis.,Both
Categorize and determine the correct boundaries of the necrosis.,Classification
"Help us delimit the apoptosis, it's important.",Segmentation
We need to evaluate the lymphocytic infiltrate for further analysis.,Classification
Your objective is to mark the desmoplasianuclear atypia efficiently.,Segmentation
"Your task is to locate the metastasis, can you do it?",Segmentation
"Find, then analyze the metastasis for classification.",Classification
"Observe and highlight and confirm the inflammation, noting key features.",Both
"Identify and analyze and indicate the atrophy, making it clearer.",Both
"Is there any tumor budding in the region? If yes, mark out.",Classification
"Recognize and indicate the ulcer, making it clearer.",Classification
"Please is there any {obj} in the region? if yes, mark out. the fibrinoid necrosis, we need the data.",Both
Your objective is to trace and evaluate the fibrosis efficiently.,Both
Trace and evaluate the tissue and label it properly.,Both
Delimit and determine the correct boundaries of the mucin.,Segmentation
"Please separate the desmoplasianuclear atypia, we need the data.",Segmentation
Detect the area containing the er negative with precision.,Segmentation
Scan the image and detect and classify the necrosis accurately.,Both
"Help us detect and classify the signet ring cells, it's important.",Both
Analyze the image and sketch where the neutrophilic infiltrate is.,Segmentation
Identify and analyze and determine the correct boundaries of the sheets.,Both
"Help us map the neutrophilic infiltrate, it's important.",Segmentation
Analyze the image and highlight where the fibrinoid necrosis is.,Segmentation
Mark the exact location of the signet ring cells in the given scene.,Segmentation
Can you highlight and confirm the metaplasia in this picture?,Both
"Please detect the calcification, we need the data.",Segmentation
"Observe and detect the nontumor, noting key features.",Segmentation
Your objective is to inspect the mucin efficiently.,Classification
"Observe and determine the atypia, noting key features.",Classification
Confirm the fibrinoid necrosis.,Classification
Sketch and determine the correct boundaries of the blood cells.,Segmentation
"Your task is to verify the tumor budding, can you do it?",Classification
"Help us delimit the tumor, it's important.",Segmentation
"Find, then map the desmoplasianuclear atypia for classification.",Segmentation
Can you observe the hyalinization in this picture?,Classification
Scan the image and trace the metastasis accurately.,Segmentation
Distinguish and highlight where the edema is located in this image.,Both
"Please find out the hypertrophy, we need the data.",Classification
Spot the area containing the edema with precision.,Segmentation
Spot and recognize the invasive carcinoma and label it properly.,Both
Trace and evaluate the tumor and label it properly.,Both
Circle the edema.,Segmentation
"Your task is to outline and verify the metaplasia, can you do it?",Both
"Observe and categorize the invasive carcinoma, noting key features.",Classification
"Please trace and evaluate the edema, we need the data.",Both
Encircle and categorize the neutrophilic infiltrate.,Both
"Find, then mark and determine the inflammation for classification.",Both
Trace and evaluate the neutrophilic infiltrate.,Both
"Locate and check and indicate the sheets, making it clearer.",Both
Recognize and highlight the inflammation to improve detection.,Classification
Categorize the exact location of the tumor budding in the given scene.,Classification
Find out if there are calcifications or not. Locate them if there is any present.,Segmentation
"Separate and indicate the cell detection, making it clearer.",Segmentation
"Inspect and indicate the ulcer, making it clearer.",Classification
"Find, then observe the mitotic figures for classification.",Classification
Draw boundary and determine the correct boundaries of the tumor necrosis.,Segmentation
Scan the image and highlight the fibrosis accurately.,Segmentation
"Help us spot and recognize the hemorrhage, it's important.",Both
We need to draw boundary the ulcer for further analysis.,Segmentation
Identify and analyze the area containing the tumor with precision.,Both
"Help us separate the desmoplasianuclear atypia, it's important.",Segmentation
We need to assess the blood cells for further analysis.,Classification
Trace and evaluate the area containing the tubules with precision.,Both
We need to outline the mitotic figures for further analysis.,Segmentation
Confirm and determine the correct boundaries of the tumor budding.,Classification
Evaluate the area containing the atypia with precision.,Classification
"This image contains a hypertrophy, find out it.",Classification
Can you outline and verify the granulation tissue in this picture?,Both
Scan the image and inspect the metastasis accurately.,Classification
"Observe and judge the metaplasia, noting key features.",Classification
Recognize where the lymphocytic infiltrate is located in this image.,Classification
"Observe and encircle and categorize the metaplasia, noting key features.",Both
"Your task is to detect the er positive, can you do it?",Segmentation
Can you distinguish the pleomorphism in this picture?,Classification
Detect the tumor.,Segmentation
"Encircle and categorize and indicate the signet ring cells, making it clearer.",Both
"Your task is to trace and evaluate the edema, can you do it?",Both
Mark and determine the area containing the er positive with precision.,Both
Detect and classify the area containing the neutrophilic infiltrate with precision.,Both
We need to inspect the metaplasia for further analysis.,Classification
Map the exact location of the apoptosis in the given scene.,Segmentation
"Observe and trace the cell detection, noting key features.",Segmentation
Categorize the hypertrophy.,Classification
Categorize where the tumor is located in this image.,Classification
We need to detect the tubules for further analysis.,Segmentation
Scan the image and evaluate the calcification accurately.,Classification
Detect and highlight the gangrenous necrosis to improve detection.,Segmentation
"Your task is to detect the fibrinoid necrosis, can you do it?",Segmentation
"Help us check the lymphocytic infiltrate, it's important.",Classification
"Please observe the fibrosis, we need the data.",Classification
Can you analyze the hemorrhage in this picture?,Classification
Map and determine the correct boundaries of the mucin.,Segmentation
Scan the image and spot and recognize the atypia accurately.,Both
"Please locate the mitotic figures, we need the data.",Segmentation
Encircle and categorize where the clear cells is located in this image.,Both
"Scan the image and is there any {obj} in the region? if yes, mark out. the invasive carcinoma accurately.",Both
Your objective is to outline the atypia efficiently.,Segmentation
Mark and determine the area containing the hyperplasia with precision.,Both
Analyze the image and detect and classify where the signet ring cells is.,Both
Spot the mitotic figures.,Segmentation
Locate the area containing the clear cells with precision.,Segmentation
"Find, then judge the fibrinoid necrosis for classification.",Classification
Highlight the exact location of the tissue in the given scene.,Segmentation
We need to highlight and confirm the cell detection for further analysis.,Both
"Identify and indicate the inflammation, making it clearer.",Segmentation
Scan the image and map the tumor accurately.,Segmentation
"This image contains a hyperplasia, mark it.",Segmentation
Analyze the image and verify where the tumor is.,Classification
Inspect the calcification.,Classification
Analyze the tubules and label it properly.,Classification
Diagnose where the mitosis is located in this image.,Classification
Your objective is to inspect the granulation tissue efficiently.,Classification
Judge the area containing the apoptosis with precision.,Classification
Can you highlight and confirm the carcinoma in situ in this picture?,Both
"Find, then distinguish and highlight the edema for classification.",Both
Find out the area containing the metastasis with precision.,Classification
We need to evaluate the carcinoma in situ for further analysis.,Classification
Verify the area containing the pleomorphism with precision.,Classification
"Find, then circle the edema for classification.",Segmentation
Detect the tumor budding.,Segmentation
Separate the area containing the cytoplasmic atypia with precision.,Segmentation
Your objective is to analyze the apoptosis efficiently.,Classification
Distinguish and highlight the tumor and label it properly.,Both
Analyze the image and locate and check where the necrosis is.,Both
"Observe and mark and determine the metaplasia, noting key features.",Both
Analyze the image and encircle and categorize where the atrophy is.,Both
Your objective is to encircle the neutrophilic infiltrate efficiently.,Segmentation
Find out if there are atypias or not. Locate them if there is any present.,Classification
"Judge and indicate the hemorrhage, making it clearer.",Classification
Determine and highlight the sheets to improve detection.,Classification
Scan the image and map the desmoplasianuclear atypia accurately.,Segmentation
Circle and highlight the atrophy to improve detection.,Segmentation
"Detect and indicate the dysplasia, making it clearer.",Segmentation
"Observe and locate and check the inflammation, noting key features.",Both
"Please separate the dysplasia, we need the data.",Segmentation
"Please separate the invasive carcinoma, we need the data.",Segmentation
Categorize the neutrophilic infiltrate and label it properly.,Classification
"Analyze and indicate the invasive carcinoma, making it clearer.",Classification
Your objective is to locate and check the atrophy efficiently.,Both
"Draw boundary and indicate the mitotic figures, making it clearer.",Segmentation
"Observe and categorize the tissue, noting key features.",Classification
"This image contains a atypia, separate it.",Segmentation
"Judge and indicate the tumor necrosis, making it clearer.",Classification
Determine where the hemorrhage is located in this image.,Classification
Can you trace and evaluate the calcification in this picture?,Both
Distinguish and highlight the metastasis and label it properly.,Both
"This image contains a neutrophilic infiltrate, spot and recognize it.",Both
"Please detect and classify the necrosis, we need the data.",Both
Outline the area containing the tumor budding with precision.,Segmentation
"Your objective is to is there any {obj} in the region? if yes, mark out. the dysplasia efficiently.",Both
Scan the image and mark the sheets accurately.,Segmentation
We need to analyze the invasive carcinoma for further analysis.,Classification
Your objective is to encircle and categorize the pleomorphism efficiently.,Both
"Your task is to recognize the metastasis, can you do it?",Classification
Your objective is to check the hypertrophy efficiently.,Classification
Distinguish the exact location of the fibrinoid necrosis in the given scene.,Classification
Analyze the image and distinguish where the nontumor is.,Classification
Identify the area containing the hypertrophy with precision.,Segmentation
"Help us encircle and categorize the necrosis, it's important.",Both
Evaluate where the invasive carcinoma is located in this image.,Classification
Analyze the image and detect and classify where the mitotic figures is.,Both
Distinguish and highlight and highlight the blood cells to improve detection.,Both
"Please observe the apoptosis, we need the data.",Classification
"Find, then diagnose the atypia for classification.",Classification
Analyze the image and distinguish and highlight where the calcification is.,Both
Trace and evaluate the area containing the necrosis with precision.,Both
Your objective is to delimit the fibrinoid necrosis efficiently.,Segmentation
Find out if there are tissues or not. Locate them if there is any present.,Both
Can you recognize the necrosis in this picture?,Classification
Detect and highlight the tumor to improve detection.,Segmentation
Sketch and determine the correct boundaries of the hyperplasia.,Segmentation
"Find out and indicate the tissue, making it clearer.",Classification
"Please sketch the lymphocytic infiltrate, we need the data.",Segmentation
Find out if there are fibrinoid necrosiss or not. Locate them if there is any present.,Classification
"Find, then identify the mitotic figures for classification.",Segmentation
"Please map the mitotic figures, we need the data.",Segmentation
We need to outline the hemorrhage for further analysis.,Segmentation
"Find, then mark and determine the cytoplasmic atypia for classification.",Both
Evaluate and determine the correct boundaries of the carcinoma in situ.,Classification
Separate and highlight the carcinoma in situ to improve detection.,Segmentation
We need to detect the cytoplasmic atypia for further analysis.,Segmentation
Analyze where the tubules is located in this image.,Classification
"Scan the image and is there any {obj} in the region? if yes, mark out. the ulcer accurately.",Both
Confirm and highlight the hyalinization to improve detection.,Classification
"Analyze and indicate the tumor budding, making it clearer.",Classification
Identify and analyze the tumor budding and label it properly.,Both
Can you highlight the hyalinization in this picture?,Segmentation
Observe and determine the correct boundaries of the gangrenous necrosis.,Classification
Sketch the area containing the carcinoma in situ with precision.,Segmentation
"This image contains a fibrosis, categorize it.",Classification
"Inspect and indicate the hypertrophy, making it clearer.",Classification
"Your task is to mark and determine the er positive, can you do it?",Both
Can you spot and recognize the carcinoma in situ in this picture?,Both
Can you identify the er positive in this picture?,Segmentation
Determine and determine the correct boundaries of the metaplasia.,Classification
"Find, then determine the inflammation for classification.",Classification
Locate and check the dysplasia and label it properly.,Both
Diagnose and highlight the hyperplasia to improve detection.,Classification
"This image contains a hyperplasia, highlight it.",Segmentation
Analyze the image and mark and determine where the granulation tissue is.,Both
"Detect and indicate the tumor budding, making it clearer.",Segmentation
Can you distinguish and highlight the blood cells in this picture?,Both
"This image contains a er positive, spot it.",Segmentation
"Your task is to find out if there are {obj}s or not. locate them if there is any present. the apoptosis, can you do it?",Both
Scan the image and mark the hyperplasia accurately.,Segmentation
Sketch and highlight the invasive carcinoma to improve detection.,Segmentation
Trace and evaluate the area containing the granulation tissue with precision.,Both
"This image contains a tumor, encircle and categorize it.",Both
"Your task is to diagnose the metaplasia, can you do it?",Classification
"Is there any {obj} in the region? If yes, mark out. and highlight the lymphocytic infiltrate to improve detection.",Both
Evaluate the area containing the atrophy with precision.,Classification
"Observe and encircle and categorize the clear cells, noting key features.",Both
Find out if there are {obj}s or not. Locate them if there is any present. and highlight the carcinoma in situ to improve detection.,Both
"Please recognize the hemorrhage, we need the data.",Classification
Confirm the mucin.,Classification
"This image contains a granulation tissue, inspect it.",Classification
We need to mark and determine the tumor necrosis for further analysis.,Both
"This image contains a edema, categorize it.",Classification
"Help us encircle and categorize the pleomorphism, it's important.",Both
"Outline and indicate the metaplasia, making it clearer.",Segmentation
Evaluate and determine the correct boundaries of the granulation tissue.,Classification
"Find out if there are {obj}s or not. Locate them if there is any present. and indicate the hemorrhage, making it clearer.",Both
Analyze the image and draw boundary where the apoptosis is.,Segmentation
Can you circle the edema in this picture?,Segmentation
We need to find out the gangrenous necrosis for further analysis.,Classification
Highlight and confirm the exact location of the atrophy in the given scene.,Both
Draw boundary the exact location of the hyalinization in the given scene.,Segmentation
Evaluate the fibrinoid necrosis.,Classification
"Please judge the sheets, we need the data.",Classification
"Verify and indicate the edema, making it clearer.",Classification
"Highlight and confirm and indicate the er negative, making it clearer.",Both
Sketch the pleomorphism.,Segmentation
"Delimit and indicate the sheets, making it clearer.",Segmentation
Find out if there are tumor necrosiss or not. Locate them if there is any present.,Segmentation
"Help us outline the atypia, it's important.",Segmentation
Detect and classify the fibrinoid necrosis.,Both
Identify and analyze the exact location of the tubules in the given scene.,Both
"Please verify the ulcer, we need the data.",Classification
Detect and classify where the clear cells is located in this image.,Both
"Is there any mitosis in the region? If yes, mark out.",Segmentation
Evaluate the mitotic figures and label it properly.,Classification
Recognize the metaplasia.,Classification
"Find, then trace and evaluate the nontumor for classification.",Both
Sketch the exact location of the inflammation in the given scene.,Segmentation
Verify the tissue.,Classification
Your objective is to encircle and categorize the clear cells efficiently.,Both
"Distinguish and indicate the inflammation, making it clearer.",Classification
Your objective is to spot and recognize the calcification efficiently.,Both
Find out the area containing the signet ring cells with precision.,Classification
Judge the atrophy and label it properly.,Classification
"Trace and indicate the signet ring cells, making it clearer.",Segmentation
Can you locate the neutrophilic infiltrate in this picture?,Segmentation
Mark and determine the exact location of the edema in the given scene.,Both
"Help us trace and evaluate the atrophy, it's important.",Both
Locate and check and highlight the metaplasia to improve detection.,Both
Analyze the image and categorize where the tubules is.,Classification
Analyze the image and find out where the mitotic figures is.,Classification
Judge where the apoptosis is located in this image.,Classification
"Observe and distinguish and highlight the tubules, noting key features.",Both
We need to inspect the edema for further analysis.,Classification
"Delimit and indicate the mitotic figures, making it clearer.",Segmentation
"Is there any signet ring cells in the region? If yes, mark out.",Classification
"Observe and is there any {obj} in the region? if yes, mark out. the neutrophilic infiltrate, noting key features.",Both
Trace where the calcification is located in this image.,Segmentation
"Observe and sketch the metaplasia, noting key features.",Segmentation
Recognize the sheets and label it properly.,Classification
"Your task is to trace the cell detection, can you do it?",Segmentation
"Observe and indicate the pleomorphism, making it clearer.",Classification
Scan the image and circle the calcification accurately.,Segmentation
Analyze the image and verify where the carcinoma in situ is.,Classification
"Please spot the hyalinization, we need the data.",Segmentation
Scan the image and judge the hemorrhage accurately.,Classification
Mark and determine and determine the correct boundaries of the desmoplasianuclear atypia.,Both
Encircle the exact location of the hypertrophy in the given scene.,Segmentation
"Please categorize the gangrenous necrosis, we need the data.",Classification
"This image contains a cytoplasmic atypia, determine it.",Classification
Map the tumor necrosis.,Segmentation
Can you mark the atypia in this picture?,Segmentation
Trace and evaluate and highlight the cell detection to improve detection.,Both
"Is there any {obj} in the region? If yes, mark out. the area containing the tumor budding with precision.",Both
"Please trace the invasive carcinoma, we need the data.",Segmentation
"Observe and observe the metastasis, noting key features.",Classification
Diagnose the dysplasia.,Classification
Your objective is to determine the pleomorphism efficiently.,Classification
Recognize the exact location of the hyperplasia in the given scene.,Classification
Can you find out the mucin in this picture?,Classification
Encircle and categorize the exact location of the clear cells in the given scene.,Both
"Locate and indicate the hyalinization, making it clearer.",Segmentation
Your objective is to encircle the hyperplasia efficiently.,Segmentation
Mark and highlight the pleomorphism to improve detection.,Segmentation
Can you categorize the clear cells in this picture?,Classification
Highlight where the sheets is located in this image.,Segmentation
"Help us assess the gangrenous necrosis, it's important.",Classification
Scan the image and identify the er positive accurately.,Segmentation
"This image contains a hyalinization, is there any {obj} in the region? if yes, mark out. it.",Both
Your objective is to evaluate the inflammation efficiently.,Classification
"Please spot the metaplasia, we need the data.",Segmentation
Spot and recognize the area containing the gangrenous necrosis with precision.,Both
Scan the image and confirm the hypertrophy accurately.,Classification
"Help us identify and analyze the ulcer, it's important.",Both
Mark where the dysplasia is located in this image.,Segmentation
Your objective is to confirm the ulcer efficiently.,Classification
Separate the fibrosis.,Segmentation
"Find, then distinguish the pleomorphism for classification.",Classification
"Evaluate and indicate the invasive carcinoma, making it clearer.",Classification
Identify and analyze the area containing the dysplasia with precision.,Both
Analyze the image and recognize where the er negative is.,Classification
"Observe and judge the gangrenous necrosis, noting key features.",Classification
We need to distinguish the metaplasia for further analysis.,Classification
Locate and check the area containing the gangrenous necrosis with precision.,Both
"Find, then separate the neutrophilic infiltrate for classification.",Segmentation
"Locate and indicate the atrophy, making it clearer.",Segmentation
"Find, then check the mucin for classification.",Classification
"Categorize and indicate the mitosis, making it clearer.",Classification
"Observe and diagnose the hyperplasia, noting key features.",Classification
Separate and highlight the tumor necrosis to improve detection.,Segmentation
We need to evaluate the metastasis for further analysis.,Classification
Encircle and determine the correct boundaries of the er positive.,Segmentation
Your objective is to determine the granulation tissue efficiently.,Classification
Trace where the nontumor is located in this image.,Segmentation
"This image contains a blood cells, observe it.",Classification
"Find, then identify and analyze the neutrophilic infiltrate for classification.",Both
"Find, then highlight and confirm the tumor necrosis for classification.",Both
Can you categorize the hyalinization in this picture?,Classification
Outline and verify where the ulcer is located in this image.,Both
Scan the image and outline and verify the hemorrhage accurately.,Both
Confirm where the nontumor is located in this image.,Classification
"Help us detect the gangrenous necrosis, it's important.",Segmentation
"This image contains a cell detection, assess it.",Classification
Can you determine the er positive in this picture?,Classification
"Observe and recognize the metastasis, noting key features.",Classification
We need to separate the edema for further analysis.,Segmentation
Diagnose the exact location of the apoptosis in the given scene.,Classification
Spot where the apoptosis is located in this image.,Segmentation
Your objective is to check the apoptosis efficiently.,Classification
Mark and determine the cytoplasmic atypia.,Both
Inspect and determine the correct boundaries of the mitotic figures.,Classification
Your objective is to judge the tumor budding efficiently.,Classification
"Help us distinguish and highlight the cell detection, it's important.",Both
Can you distinguish and highlight the cytoplasmic atypia in this picture?,Both
"Find, then distinguish and highlight the lymphocytic infiltrate for classification.",Both
"Observe and inspect the fibrosis, noting key features.",Classification
Check the area containing the blood cells with precision.,Classification
Can you detect the fibrosis in this picture?,Segmentation
Can you encircle the lymphocytic infiltrate in this picture?,Segmentation
"Your task is to outline and verify the tumor, can you do it?",Both
Judge the tumor.,Classification
"This image contains a lymphocytic infiltrate, distinguish and highlight it.",Both
Detect and classify and highlight the mitosis to improve detection.,Both
"Find, then highlight and confirm the lymphocytic infiltrate for classification.",Both
Assess the tumor necrosis and label it properly.,Classification
"Help us analyze the dysplasia, it's important.",Classification
Can you evaluate the lymphocytic infiltrate in this picture?,Classification
"Observe and distinguish and highlight the blood cells, noting key features.",Both
Sketch and highlight the hypertrophy to improve detection.,Segmentation
Determine the area containing the mitosis with precision.,Classification
"Find, then evaluate the gangrenous necrosis for classification.",Classification
Your objective is to outline the mucin efficiently.,Segmentation
Mark and determine the area containing the tissue with precision.,Both
Can you highlight the mitotic figures in this picture?,Segmentation
Locate and check and highlight the pleomorphism to improve detection.,Both
Trace and evaluate the neutrophilic infiltrate and label it properly.,Both
"Find, then find out the cell detection for classification.",Classification
Analyze the image and draw boundary where the cell detection is.,Segmentation
"Please diagnose the desmoplasianuclear atypia, we need the data.",Classification
Encircle and categorize and highlight the lymphocytic infiltrate to improve detection.,Both
Determine where the mucin is located in this image.,Classification
"Your task is to determine the fibrinoid necrosis, can you do it?",Classification
Can you judge the clear cells in this picture?,Classification
"Please detect the dysplasia, we need the data.",Segmentation
"Find, then spot and recognize the ulcer for classification.",Both
"Help us circle the fibrosis, it's important.",Segmentation
Find out the area containing the pleomorphism with precision.,Classification
Find out and determine the correct boundaries of the invasive carcinoma.,Classification
"This image contains a blood cells, encircle and categorize it.",Both
Detect the area containing the gangrenous necrosis with precision.,Segmentation
We need to trace and evaluate the gangrenous necrosis for further analysis.,Both
"Please draw boundary the calcification, we need the data.",Segmentation
Scan the image and identify and analyze the cytoplasmic atypia accurately.,Both
Your objective is to spot and recognize the er negative efficiently.,Both
"This image contains a fibrosis, locate and check it.",Both
Analyze the image and distinguish where the tumor necrosis is.,Classification
"Help us delimit the pleomorphism, it's important.",Segmentation
"This image contains a metastasis, is there any {obj} in the region? if yes, mark out. it.",Both
"Please mark and determine the hemorrhage, we need the data.",Both
"Is there any {obj} in the region? If yes, mark out. and determine the correct boundaries of the mitotic figures.",Both
"Your task is to encircle the cell detection, can you do it?",Segmentation
Highlight the tumor necrosis.,Segmentation
Spot and determine the correct boundaries of the nontumor.,Segmentation
Detect and highlight the tumor necrosis to improve detection.,Segmentation
"This image contains a mucin, recognize it.",Classification
"Help us find out if there are {obj}s or not. locate them if there is any present. the clear cells, it's important.",Both
Scan the image and identify and analyze the tumor accurately.,Both
We need to identify the cell detection for further analysis.,Segmentation
Delimit the exact location of the pleomorphism in the given scene.,Segmentation
Scan the image and encircle and categorize the neutrophilic infiltrate accurately.,Both
Locate and highlight the mucin to improve detection.,Segmentation
We need to draw boundary the pleomorphism for further analysis.,Segmentation
Scan the image and map the blood cells accurately.,Segmentation
Can you mark and determine the dysplasia in this picture?,Both
"This image contains a metaplasia, recognize it.",Classification
Detect the area containing the hyperplasia with precision.,Segmentation
We need to circle the cytoplasmic atypia for further analysis.,Segmentation
Detect the metaplasia and label it properly.,Segmentation
Can you outline the metaplasia in this picture?,Segmentation
"Find, then check the clear cells for classification.",Classification
Analyze the image and confirm where the atypia is.,Classification
"This image contains a tissue, highlight and confirm it.",Both
Spot and recognize and determine the correct boundaries of the er positive.,Both
Find out if there are {obj}s or not. Locate them if there is any present. and highlight the fibrinoid necrosis to improve detection.,Both
Analyze where the cell detection is located in this image.,Classification
Your objective is to analyze the cytoplasmic atypia efficiently.,Classification
Assess and highlight the atrophy to improve detection.,Classification
Encircle the exact location of the mitosis in the given scene.,Segmentation
Highlight and confirm the exact location of the invasive carcinoma in the given scene.,Both
"Help us analyze the desmoplasianuclear atypia, it's important.",Classification
Outline and verify where the cell detection is located in this image.,Both
Map and highlight the blood cells to improve detection.,Segmentation
Analyze the image and detect where the neutrophilic infiltrate is.,Segmentation
