Text Instruction,Label
"Your objective is to is there any {obj} in the region? if yes, mark out. the hyperplasia efficiently.",2
Encircle and categorize and determine the correct boundaries of the edema.,2
Mark and determine the correct boundaries of the atrophy.,1
Encircle and categorize the exact location of the clear cells in the given scene.,2
Analyze the image and analyze where the nontumor is.,0
Circle the tumor necrosis and label it properly.,1
Scan the image and judge the tumor accurately.,0
Map and highlight the fibrosis to improve detection.,1
Can you trace and evaluate the fibrinoid necrosis in this picture?,2
"Is there any {obj} in the region? If yes, mark out. and determine the correct boundaries of the cytoplasmic atypia.",2
Outline and determine the correct boundaries of the mitosis.,1
"Help us highlight and confirm the atypia, it's important.",2
Locate and check the exact location of the fibrinoid necrosis in the given scene.,2
"Observe and encircle and categorize the neutrophilic infiltrate, noting key features.",2
Analyze the image and detect where the hyalinization is.,1
"Your task is to map the edema, can you do it?",1
Analyze the image and highlight where the fibrinoid necrosis is.,1
Find out if there are {obj}s or not. Locate them if there is any present. the area containing the neutrophilic infiltrate with precision.,2
Trace and determine the correct boundaries of the hemorrhage.,1
We need to highlight and confirm the er positive for further analysis.,2
Spot and determine the correct boundaries of the tubules.,1
Identify and analyze where the hemorrhage is located in this image.,2
Judge and highlight the apoptosis to improve detection.,0
"Observe and inspect the edema, noting key features.",0
We need to recognize the gangrenous necrosis for further analysis.,0
"Observe and judge the tumor, noting key features.",0
Assess where the metaplasia is located in this image.,0
Your objective is to trace and evaluate the atrophy efficiently.,2
We need to encircle and categorize the clear cells for further analysis.,2
"Observe and is there any {obj} in the region? if yes, mark out. the signet ring cells, noting key features.",2
"Help us highlight and confirm the fibrinoid necrosis, it's important.",2
Analyze the image and trace and evaluate where the blood cells is.,2
Scan the image and encircle the edema accurately.,1
"Please determine the metaplasia, we need the data.",0
"Please identify and analyze the hypertrophy, we need the data.",2
Trace where the tumor budding is located in this image.,1
We need to delimit the calcification for further analysis.,1
Map and determine the correct boundaries of the necrosis.,1
"This image contains a cell detection, inspect it.",0
Find out if there are {obj}s or not. Locate them if there is any present. and determine the correct boundaries of the edema.,2
Distinguish and highlight the dysplasia and label it properly.,2
"Find, then distinguish the fibrosis for classification.",0
Highlight and confirm and highlight the atrophy to improve detection.,2
We need to encircle the apoptosis for further analysis.,1
Find out if there are tissues or not. Locate them if there is any present.,0
"Find, then detect and classify the hemorrhage for classification.",2
Analyze the area containing the cytoplasmic atypia with precision.,0
Mark and determine where the mucin is located in this image.,2
Map the exact location of the granulation tissue in the given scene.,1
Can you judge the metaplasia in this picture?,0
We need to draw boundary the hypertrophy for further analysis.,1
Your objective is to encircle and categorize the tumor budding efficiently.,2
Highlight the dysplasia.,1
Trace and evaluate the area containing the clear cells with precision.,2
"Please categorize the nontumor, we need the data.",0
Determine the tissue.,0
Recognize the tubules.,0
Draw boundary and determine the correct boundaries of the tumor necrosis.,1
We need to detect the inflammation for further analysis.,1
"Your task is to identify and analyze the cytoplasmic atypia, can you do it?",2
"Help us mark the ulcer, it's important.",1
"Analyze and indicate the calcification, making it clearer.",0
Highlight and confirm the necrosis.,2
"Your task is to find out if there are {obj}s or not. locate them if there is any present. the tissue, can you do it?",2
Find out if there are mitotic figuress or not. Locate them if there is any present.,1
"Help us draw boundary the mitosis, it's important.",1
"Your task is to spot and recognize the er negative, can you do it?",2
Spot the fibrosis and label it properly.,1
Your objective is to circle the mitotic figures efficiently.,1
Can you identify the apoptosis in this picture?,1
"Help us map the gangrenous necrosis, it's important.",1
Can you outline and verify the granulation tissue in this picture?,2
Analyze and determine the correct boundaries of the sheets.,0
"Your task is to map the atypia, can you do it?",1
Detect and classify the exact location of the hyperplasia in the given scene.,2
"Your task is to detect the tumor, can you do it?",1
Scan the image and verify the necrosis accurately.,0
Analyze the image and mark and determine where the nontumor is.,2
Assess the area containing the hyperplasia with precision.,0
Spot where the neutrophilic infiltrate is located in this image.,1
We need to assess the cytoplasmic atypia for further analysis.,0
Scan the image and mark and determine the tumor budding accurately.,2
"Is there any neutrophilic infiltrate in the region? If yes, mark out.",1
"Observe and find out the mitosis, noting key features.",0
Can you outline and verify the metaplasia in this picture?,2
"Your task is to mark and determine the er positive, can you do it?",2
Scan the image and locate and check the calcification accurately.,2
Check where the tumor is located in this image.,0
Find out if there are {obj}s or not. Locate them if there is any present. the area containing the signet ring cells with precision.,2
Trace and evaluate and highlight the gangrenous necrosis to improve detection.,2
"Your task is to trace and evaluate the er negative, can you do it?",2
Circle the edema.,1
Can you mark and determine the hemorrhage in this picture?,2
Analyze the image and identify and analyze where the blood cells is.,2
Detect and classify and highlight the granulation tissue to improve detection.,2
Scan the image and assess the blood cells accurately.,0
Assess the mucin.,0
Diagnose the exact location of the fibrinoid necrosis in the given scene.,0
Sketch and determine the correct boundaries of the signet ring cells.,1
"Your task is to highlight and confirm the metastasis, can you do it?",2
Locate and check and highlight the er negative to improve detection.,2
"Mark and indicate the tumor budding, making it clearer.",1
Judge the mucin.,0
"Is there any {obj} in the region? If yes, mark out. and determine the correct boundaries of the tubules.",2
Sketch and highlight the hypertrophy to improve detection.,1
Spot and recognize where the desmoplasianuclear atypia is located in this image.,2
Can you trace and evaluate the cytoplasmic atypia in this picture?,2
"Please observe the fibrosis, we need the data.",0
Can you sketch the hyperplasia in this picture?,1
Analyze the image and outline where the mitotic figures is.,1
Find out if there are apoptosiss or not. Locate them if there is any present.,1
Find out if there are fibrinoid necrosiss or not. Locate them if there is any present.,2
Scan the image and verify the gangrenous necrosis accurately.,0
Judge and highlight the tumor necrosis to improve detection.,0
Analyze the image and check where the dysplasia is.,0
"Please verify the invasive carcinoma, we need the data.",0
Detect and classify the area containing the ulcer with precision.,2
Locate and check the neutrophilic infiltrate.,2
"Your task is to confirm the cytoplasmic atypia, can you do it?",0
Assess where the fibrinoid necrosis is located in this image.,0
"Observe and judge the fibrosis, noting key features.",0
Highlight the mitosis.,1
Observe the lymphocytic infiltrate and label it properly.,0
"Your task is to check the granulation tissue, can you do it?",0
Sketch the metaplasia and label it properly.,1
Analyze the image and delimit where the metastasis is.,1
Spot and determine the correct boundaries of the gangrenous necrosis.,1
Can you recognize the hyperplasia in this picture?,0
Sketch where the tumor budding is located in this image.,1
"Is there any {obj} in the region? If yes, mark out. and determine the correct boundaries of the er positive.",2
"Your task is to outline and verify the clear cells, can you do it?",2
Detect the carcinoma in situ.,1
"Trace and indicate the tumor necrosis, making it clearer.",1
Inspect and highlight the hyalinization to improve detection.,0
Your objective is to spot and recognize the hyperplasia efficiently.,2
Verify and determine the correct boundaries of the cytoplasmic atypia.,0
"Help us identify and analyze the mitotic figures, it's important.",2
Mark and determine where the tumor necrosis is located in this image.,2
"Please distinguish and highlight the calcification, we need the data.",2
Map the hyperplasia and label it properly.,1
"Is there any gangrenous necrosis in the region? If yes, mark out.",1
Identify and analyze and highlight the hemorrhage to improve detection.,2
Find out if there are dysplasias or not. Locate them if there is any present.,1
Scan the image and circle the calcification accurately.,1
"Observe and outline the tumor necrosis, noting key features.",1
Recognize where the fibrinoid necrosis is located in this image.,0
Analyze the image and mark where the gangrenous necrosis is.,1
"Find, then find out if there are {obj}s or not. locate them if there is any present. the er positive for classification.",2
Can you locate the atrophy in this picture?,1
"Is there any invasive carcinoma in the region? If yes, mark out.",1
Scan the image and check the er negative accurately.,0
Scan the image and check the neutrophilic infiltrate accurately.,0
Detect and determine the correct boundaries of the mucin.,1
"Highlight and confirm and indicate the ulcer, making it clearer.",2
Scan the image and spot and recognize the signet ring cells accurately.,2
"Your task is to sketch the mitotic figures, can you do it?",1
"Is there any cytoplasmic atypia in the region? If yes, mark out.",2
Scan the image and mark the desmoplasianuclear atypia accurately.,1
Determine and determine the correct boundaries of the lymphocytic infiltrate.,0
"Is there any hyperplasia in the region? If yes, mark out.",0
"Help us inspect the apoptosis, it's important.",0
Sketch the exact location of the metastasis in the given scene.,1
Trace and evaluate and highlight the metaplasia to improve detection.,2
Your objective is to separate the inflammation efficiently.,1
Can you detect the tubules in this picture?,1
"This image contains a blood cells, determine it.",0
Check the tubules and label it properly.,0
Categorize the area containing the tissue with precision.,0
Your objective is to detect and classify the neutrophilic infiltrate efficiently.,2
Inspect the exact location of the necrosis in the given scene.,0
Scan the image and mark and determine the inflammation accurately.,2
"Your task is to identify and analyze the tumor necrosis, can you do it?",2
Confirm the hyalinization.,0
"Identify and indicate the mucin, making it clearer.",1
"Find, then locate the apoptosis for classification.",1
Analyze the image and locate and check where the invasive carcinoma is.,2
Recognize the metaplasia.,0
We need to mark the tumor necrosis for further analysis.,1
"This image contains a er positive, assess it.",0
"This image contains a er negative, mark and determine it.",2
Find out if there are calcifications or not. Locate them if there is any present.,0
Highlight and confirm the exact location of the tumor budding in the given scene.,2
Distinguish the cell detection.,0
"Analyze and indicate the ulcer, making it clearer.",0
Assess and highlight the lymphocytic infiltrate to improve detection.,0
"Your task is to mark and determine the tumor budding, can you do it?",2
"Find, then circle the tumor for classification.",1
"Observe and circle the desmoplasianuclear atypia, noting key features.",1
"This image contains a mitosis, mark it.",1
"Help us mark and determine the hypertrophy, it's important.",2
"Help us encircle and categorize the hyalinization, it's important.",2
Map and highlight the nontumor to improve detection.,1
"Observe and spot the mitosis, noting key features.",1
"Find, then draw boundary the fibrosis for classification.",1
Check and highlight the metastasis to improve detection.,0
Can you circle the desmoplasianuclear atypia in this picture?,1
Analyze the image and sketch where the atrophy is.,1
Analyze the image and find out if there are {obj}s or not. locate them if there is any present. where the hyperplasia is.,2
"Please sketch the carcinoma in situ, we need the data.",1
Check and highlight the carcinoma in situ to improve detection.,0
Find out if there are apoptosiss or not. Locate them if there is any present.,2
Spot and recognize the fibrosis and label it properly.,2
Draw boundary the exact location of the fibrinoid necrosis in the given scene.,1
Distinguish and highlight the area containing the calcification with precision.,2
"Your task is to delimit the metastasis, can you do it?",1
Find out if there are mitosiss or not. Locate them if there is any present.,2
"Locate and indicate the neutrophilic infiltrate, making it clearer.",1
"This image contains a tissue, trace and evaluate it.",2
Scan the image and separate the neutrophilic infiltrate accurately.,1
Analyze the image and determine where the nontumor is.,0
"Your task is to outline the pleomorphism, can you do it?",1
Inspect and highlight the er negative to improve detection.,0
Can you check the tubules in this picture?,0
Detect and classify the cell detection.,2
"Find, then distinguish and highlight the tumor necrosis for classification.",2
"Help us delimit the tumor, it's important.",1
Highlight the fibrosis and label it properly.,1
Outline the necrosis.,1
Mark and determine the signet ring cells and label it properly.,2
"Your task is to outline and verify the metaplasia, can you do it?",2
Trace the area containing the atypia with precision.,1
Observe and determine the correct boundaries of the gangrenous necrosis.,0
Analyze the image and identify where the fibrinoid necrosis is.,1
Can you trace the ulcer in this picture?,1
Observe the pleomorphism.,0
Scan the image and trace the blood cells accurately.,1
Identify and analyze where the metaplasia is located in this image.,2
"Your task is to inspect the mucin, can you do it?",0
Recognize and determine the correct boundaries of the tubules.,0
Scan the image and analyze the mucin accurately.,0
Separate the area containing the hemorrhage with precision.,1
"Find, then outline the hyperplasia for classification.",1
Analyze the image and separate where the tissue is.,1
Distinguish and highlight the exact location of the tumor budding in the given scene.,2
"Your task is to spot and recognize the fibrinoid necrosis, can you do it?",2
Scan the image and circle the granulation tissue accurately.,1
Evaluate where the calcification is located in this image.,0
Recognize the exact location of the sheets in the given scene.,0
"Your task is to distinguish the granulation tissue, can you do it?",0
Can you trace and evaluate the er positive in this picture?,2
"Is there any dysplasia in the region? If yes, mark out.",2
"Your task is to determine the desmoplasianuclear atypia, can you do it?",0
We need to distinguish the pleomorphism for further analysis.,0
"This image contains a cell detection, assess it.",0
Sketch the atypia and label it properly.,1
Recognize the invasive carcinoma.,0
Evaluate the mucin.,0
Scan the image and confirm the hypertrophy accurately.,0
Analyze the image and separate where the edema is.,1
Spot and recognize the exact location of the atypia in the given scene.,2
"Observe and map the hypertrophy, noting key features.",1
Inspect and highlight the edema to improve detection.,0
"Observe and find out if there are {obj}s or not. locate them if there is any present. the apoptosis, noting key features.",2
"This image contains a mitotic figures, diagnose it.",0
Scan the image and judge the tissue accurately.,0
Determine the exact location of the hyperplasia in the given scene.,0
Analyze the image and sketch where the neutrophilic infiltrate is.,1
Highlight and confirm and determine the correct boundaries of the tubules.,2
"Analyze and indicate the tumor, making it clearer.",0
Recognize the sheets and label it properly.,0
Recognize the blood cells.,0
Map and determine the correct boundaries of the fibrinoid necrosis.,1
Your objective is to draw boundary the clear cells efficiently.,1
We need to find out the calcification for further analysis.,0
Scan the image and analyze the tumor accurately.,0
Find out where the necrosis is located in this image.,0
"Spot and recognize and indicate the neutrophilic infiltrate, making it clearer.",2
Detect and classify the exact location of the metastasis in the given scene.,2
Analyze the image and mark and determine where the dysplasia is.,2
"Please encircle and categorize the necrosis, we need the data.",2
Find out if there are {obj}s or not. Locate them if there is any present. the area containing the cytoplasmic atypia with precision.,2
"Find, then evaluate the gangrenous necrosis for classification.",0
Analyze the lymphocytic infiltrate.,0
"Find, then draw boundary the gangrenous necrosis for classification.",1
Can you observe the mucin in this picture?,0
Delimit and determine the correct boundaries of the tumor necrosis.,1
Assess the apoptosis and label it properly.,0
"Is there any clear cells in the region? If yes, mark out.",1
"Observe and judge the cytoplasmic atypia, noting key features.",0
"Your task is to trace and evaluate the tumor, can you do it?",2
"Find, then find out if there are {obj}s or not. locate them if there is any present. the hemorrhage for classification.",2
Outline and verify the exact location of the mitosis in the given scene.,2
Scan the image and encircle the invasive carcinoma accurately.,1
Can you distinguish and highlight the edema in this picture?,2
"Spot and recognize and indicate the inflammation, making it clearer.",2
Can you highlight and confirm the granulation tissue in this picture?,2
Your objective is to diagnose the fibrinoid necrosis efficiently.,0
Assess and determine the correct boundaries of the metaplasia.,0
"Verify and indicate the lymphocytic infiltrate, making it clearer.",0
Find out if there are {obj}s or not. Locate them if there is any present. where the neutrophilic infiltrate is located in this image.,2
Identify and analyze where the ulcer is located in this image.,2
Verify the area containing the hyperplasia with precision.,0
Can you categorize the sheets in this picture?,0
"Verify and indicate the edema, making it clearer.",0
Find out if there are neutrophilic infiltrates or not. Locate them if there is any present.,1
Mark and determine the er negative and label it properly.,2
"Sketch and indicate the carcinoma in situ, making it clearer.",1
Judge and highlight the gangrenous necrosis to improve detection.,0
"Find, then encircle and categorize the metaplasia for classification.",2
"Observe and trace the mitotic figures, noting key features.",1
Encircle the necrosis and label it properly.,1
Highlight and confirm the edema.,2
Spot the carcinoma in situ and label it properly.,1
"Your task is to confirm the hyperplasia, can you do it?",0
"Find, then encircle and categorize the mitotic figures for classification.",2
Scan the image and check the inflammation accurately.,0
Analyze the image and observe where the metaplasia is.,0
"Determine and indicate the dysplasia, making it clearer.",0
Your objective is to outline the er negative efficiently.,1
Your objective is to mark and determine the er negative efficiently.,2
We need to spot and recognize the signet ring cells for further analysis.,2
Locate and check the er positive and label it properly.,2
"Is there any nontumor in the region? If yes, mark out.",1
Spot the area containing the granulation tissue with precision.,1
"Find, then spot and recognize the lymphocytic infiltrate for classification.",2
"Find, then mark the nontumor for classification.",1
Find out and highlight the tissue to improve detection.,0
We need to recognize the hypertrophy for further analysis.,0
"Is there any {obj} in the region? If yes, mark out. where the mitosis is located in this image.",2
"Help us spot and recognize the er positive, it's important.",2
Observe where the sheets is located in this image.,0
"Is there any apoptosis in the region? If yes, mark out.",0
"Please categorize the clear cells, we need the data.",0
"Please detect and classify the signet ring cells, we need the data.",2
Can you spot and recognize the edema in this picture?,2
Diagnose where the granulation tissue is located in this image.,0
Trace where the tubules is located in this image.,1
Map the carcinoma in situ.,1
"Your task is to observe the mucin, can you do it?",0
"Find, then locate and check the mucin for classification.",2
"Observe and outline and verify the inflammation, noting key features.",2
"Please locate and check the metaplasia, we need the data.",2
Detect and classify the sheets.,2
Find out if there are {obj}s or not. Locate them if there is any present. and highlight the edema to improve detection.,2
Circle where the er negative is located in this image.,1
Can you outline the fibrosis in this picture?,1
Determine and highlight the edema to improve detection.,0
"Find, then encircle and categorize the hyalinization for classification.",2
"Outline and indicate the sheets, making it clearer.",1
Recognize and determine the correct boundaries of the hypertrophy.,0
Highlight the area containing the pleomorphism with precision.,1
Your objective is to inspect the metaplasia efficiently.,0
Assess and highlight the granulation tissue to improve detection.,0
We need to detect the edema for further analysis.,1
"Your task is to circle the atypia, can you do it?",1
Mark and determine and determine the correct boundaries of the lymphocytic infiltrate.,2
"Please analyze the blood cells, we need the data.",0
Find out if there are {obj}s or not. Locate them if there is any present. where the apoptosis is located in this image.,2
"Is there any {obj} in the region? If yes, mark out. the ulcer and label it properly.",2
Categorize the tumor budding and label it properly.,0
We need to spot the carcinoma in situ for further analysis.,1
Can you trace and evaluate the necrosis in this picture?,2
"Is there any {obj} in the region? If yes, mark out. and highlight the desmoplasianuclear atypia to improve detection.",2
"This image contains a tumor necrosis, recognize it.",0
Analyze the image and encircle where the mitosis is.,1
Scan the image and delimit the tissue accurately.,1
"Find, then detect and classify the cell detection for classification.",2
"Find, then outline and verify the lymphocytic infiltrate for classification.",2
"Your task is to trace the calcification, can you do it?",1
"Help us draw boundary the mucin, it's important.",1
Identify the hyperplasia.,1
Recognize the cell detection and label it properly.,0
Determine the area containing the mitosis with precision.,0
"Please circle the atrophy, we need the data.",1
"Find, then check the atypia for classification.",0
Your objective is to map the apoptosis efficiently.,1
Trace where the mitosis is located in this image.,1
"Is there any tumor in the region? If yes, mark out.",0
Mark and determine and highlight the fibrosis to improve detection.,2
Locate and check the exact location of the inflammation in the given scene.,2
"This image contains a cell detection, identify it.",1
Can you locate and check the pleomorphism in this picture?,2
"Find, then sketch the fibrosis for classification.",1
Confirm the mitotic figures.,0
"This image contains a metastasis, identify and analyze it.",2
Scan the image and detect and classify the necrosis accurately.,2
Analyze the image and judge where the desmoplasianuclear atypia is.,0
Mark the exact location of the nontumor in the given scene.,1
Trace and evaluate the exact location of the necrosis in the given scene.,2
Detect the tubules.,1
"Is there any {obj} in the region? If yes, mark out. where the atrophy is located in this image.",2
"Diagnose and indicate the calcification, making it clearer.",0
We need to spot the granulation tissue for further analysis.,1
Analyze the image and identify and analyze where the carcinoma in situ is.,2
Distinguish where the blood cells is located in this image.,0
"We need to is there any {obj} in the region? if yes, mark out. the tumor budding for further analysis.",2
"Find, then determine the granulation tissue for classification.",0
Check the ulcer.,0
Recognize where the mitotic figures is located in this image.,0
"Please detect the calcification, we need the data.",1
Can you find out the tumor budding in this picture?,0
"Observe and draw boundary the metastasis, noting key features.",1
"Your task is to separate the hemorrhage, can you do it?",1
Separate and determine the correct boundaries of the necrosis.,1
Scan the image and encircle and categorize the tumor accurately.,2
Inspect the fibrosis.,0
Determine the dysplasia.,0
Find out if there are sheetss or not. Locate them if there is any present.,0
Find out and highlight the granulation tissue to improve detection.,0
Outline where the atypia is located in this image.,1
"Find, then distinguish the tumor for classification.",0
"Find, then judge the mitotic figures for classification.",0
Analyze and determine the correct boundaries of the neutrophilic infiltrate.,0
"Your task is to determine the mitosis, can you do it?",0
"Help us recognize the pleomorphism, it's important.",0
"Identify and indicate the inflammation, making it clearer.",1
Scan the image and encircle the cell detection accurately.,1
"Your task is to distinguish and highlight the lymphocytic infiltrate, can you do it?",2
"Is there any {obj} in the region? If yes, mark out. the tubules and label it properly.",2
Identify where the lymphocytic infiltrate is located in this image.,1
Your objective is to draw boundary the mitosis efficiently.,1
Locate and check and determine the correct boundaries of the mucin.,2
"Find, then separate the edema for classification.",1
Distinguish and highlight the exact location of the er positive in the given scene.,2
Judge and highlight the fibrosis to improve detection.,0
"Identify and indicate the metaplasia, making it clearer.",1
Assess and determine the correct boundaries of the inflammation.,0
"This image contains a er positive, spot it.",1
Can you find out if there are {obj}s or not. locate them if there is any present. the atypia in this picture?,2
Outline and verify and highlight the mitotic figures to improve detection.,2
Separate and determine the correct boundaries of the pleomorphism.,1
Trace where the ulcer is located in this image.,1
Outline and highlight the invasive carcinoma to improve detection.,1
"Your task is to trace and evaluate the hyalinization, can you do it?",2
Trace the ulcer and label it properly.,1
Scan the image and judge the fibrosis accurately.,0
Can you separate the fibrosis in this picture?,1
"Help us encircle and categorize the calcification, it's important.",2
Locate and check the blood cells and label it properly.,2
Inspect the exact location of the tumor budding in the given scene.,0
Scan the image and outline the sheets accurately.,1
"Please trace the mitosis, we need the data.",1
Spot and recognize the area containing the calcification with precision.,2
We need to locate and check the tumor necrosis for further analysis.,2
Find out if there are tumor buddings or not. Locate them if there is any present.,0
Analyze the image and spot and recognize where the tumor necrosis is.,2
Can you mark and determine the lymphocytic infiltrate in this picture?,2
"This image contains a tubules, distinguish it.",0
"Is there any cell detection in the region? If yes, mark out.",0
Your objective is to detect and classify the necrosis efficiently.,2
Encircle and categorize the nontumor.,2
Observe the exact location of the blood cells in the given scene.,0
"Outline and indicate the granulation tissue, making it clearer.",1
Can you judge the fibrinoid necrosis in this picture?,0
"Your task is to mark and determine the desmoplasianuclear atypia, can you do it?",2
Can you locate the neutrophilic infiltrate in this picture?,1
"Observe and spot the granulation tissue, noting key features.",1
Sketch and determine the correct boundaries of the apoptosis.,1
"Please is there any {obj} in the region? if yes, mark out. the tissue, we need the data.",2
"Help us judge the hypertrophy, it's important.",0
Analyze the invasive carcinoma.,0
"Identify and indicate the signet ring cells, making it clearer.",1
"Is there any tumor in the region? If yes, mark out.",2
"Help us judge the mitosis, it's important.",0
"Your task is to diagnose the invasive carcinoma, can you do it?",0
Your objective is to locate the tumor efficiently.,1
"Outline and indicate the inflammation, making it clearer.",1
Scan the image and circle the cytoplasmic atypia accurately.,1
Check and highlight the sheets to improve detection.,0
Analyze the image and detect where the clear cells is.,1
"Help us find out if there are {obj}s or not. locate them if there is any present. the edema, it's important.",2
Find out if there are invasive carcinomas or not. Locate them if there is any present.,1
Scan the image and judge the dysplasia accurately.,0
Determine and highlight the tumor to improve detection.,0
Recognize and determine the correct boundaries of the ulcer.,0
Encircle and categorize the area containing the inflammation with precision.,2
"Recognize and indicate the hyalinization, making it clearer.",0
Evaluate the area containing the tumor budding with precision.,0
Observe where the mitosis is located in this image.,0
Analyze where the calcification is located in this image.,0
"Find, then encircle the hyperplasia for classification.",1
Assess and determine the correct boundaries of the granulation tissue.,0
Categorize the exact location of the edema in the given scene.,0
"Observe and spot the mucin, noting key features.",1
Analyze the image and encircle and categorize where the granulation tissue is.,2
"This image contains a mitotic figures, categorize it.",0
Locate and check the fibrosis.,2
Scan the image and highlight and confirm the mitotic figures accurately.,2
"Please delimit the hyalinization, we need the data.",1
Scan the image and highlight the metastasis accurately.,1
Judge the dysplasia.,0
Encircle and categorize and determine the correct boundaries of the lymphocytic infiltrate.,2
Verify the granulation tissue and label it properly.,0
"Your task is to diagnose the inflammation, can you do it?",0
We need to determine the mucin for further analysis.,0
Analyze the image and locate and check where the gangrenous necrosis is.,2
Locate and check the area containing the er negative with precision.,2
Detect and classify the exact location of the er negative in the given scene.,2
"Find, then locate and check the nontumor for classification.",2
Detect and classify the mitosis and label it properly.,2
Distinguish where the dysplasia is located in this image.,0
Evaluate the mucin and label it properly.,0
"Help us draw boundary the desmoplasianuclear atypia, it's important.",1
Analyze the image and evaluate where the tumor is.,0
